"year","month","model","registrations","market_share"
2024,8,"AUDI A4",10,0.1
2024,8,"AUDI Q8 E-TRON",10,0.1
2024,8,"KIA EV9",10,0.1
2024,8,"KIA XCEED",10,0.1
2024,8,"MAZDA MX-5",10,0.1
2024,8,"MITSUBISHI ECLIPSE CROSS",10,0.1
2024,8,"BMW 2'ER",9,0.1
2024,8,"BMW X5",9,0.1
2024,8,"FORD FOCUS",9,0.1
2024,8,"MERCEDES-BENZ V-KLASSE",9,0.1
2024,8,"PORSCHE TAYCAN",9,0.1
2024,8,"SKODA SUPERB",9,0.1
2024,8,"VOLVO V90",9,0.1
2024,8,"XPENG P7",9,0.1
2024,8,"BMW I7",8,0.1
2024,8,"KGM TORRES EVX",8,0.1
2024,8,"OPEL ZAFIRA",8,0.1
2024,8,"RENAULT CAPTUR",8,0.1
2024,8,"LEXUS LBX",7,0.1
2024,8,"MAZDA CX-30",7,0.1
2024,8,"MERCEDES-BENZ GLC",7,0.1
2024,8,"MG EHS",7,0.1
2024,8,"BYD TANG",6,0
2024,8,"KIA SORENTO",6,0
2024,8,"MERCEDES-BENZ GLE",6,0
2024,8,"PEUGEOT 508",6,0
2024,8,"VOLVO V60",6,0
2024,8,"VOLVO XC40",6,0
2024,8,"BMW X3",5,0
2024,8,"LEXUS RZ",5,0
2024,8,"MG ZS",5,0
2024,8,"OPEL CROSSLAND",5,0
2024,8,"SUZUKI S-CROSS",5,0
2024,8,"VOLKSWAGEN CRAFTER",5,0
2024,8,"VOLVO XC90",5,0
2024,8,"FORD TRANSIT CUSTOM",4,0
2024,8,"HONDA CIVIC",4,0
2024,8,"JEEP AVENGER",4,0
2024,8,"MAZDA 3",4,0
2024,8,"MAZDA CX-60",4,0
2024,8,"VOLKSWAGEN CARAVELLE",4,0
2024,8,"AUDI A6",3,0
2024,8,"AUDI Q7",3,0
2024,8,"BMW 4'ER",3,0
2024,8,"CITROEN C5 AIRCROSS",3,0
2024,8,"DS 4",3,0
2024,8,"FORD FIESTA",3,0
2024,8,"FORD MUSTANG",3,0
2024,8,"HONDA JAZZ",3,0
2024,8,"LOTUS ELETRE",3,0
2024,8,"MAN TGE",3,0
2024,8,"MERCEDES-BENZ EQV",3,0
2024,8,"NILSSON HEARSE",3,0
2024,8,"PORSCHE CAYMAN",3,0
2024,8,"PORSCHE PANAMERA",3,0
2024,8,"SUBARU FORESTER",3,0
2024,8,"VOLKSWAGEN GOLF",3,0
2024,8,"AIWAYS U5",2,0
2024,8,"HYUNDAI SANTA FE",2,0
2024,8,"LEXUS ES",2,0
2024,8,"MERCEDES-BENZ AMG GT",2,0
2024,8,"MERCEDES-BENZ G-KLASSE",2,0
2024,8,"MINI 5-DØRS",2,0
2024,8,"NISSAN X-TRAIL",2,0
2024,8,"PORSCHE 718 SPYDER RS",2,0
2024,8,"RENAULT TRAFIC",2,0
2024,8,"TESLA MODEL X",2,0
2024,8,"TOYOTA PROACE VERSO",2,0
2024,8,"AUDI Q8",1,0
2024,8,"CUPRA TAVASCAN",1,0
2024,8,"FERRARI 296",1,0
2024,8,"FERRARI PUROSANGUE",1,0
2024,8,"LAND ROVER RANGE ROVER",1,0
2024,8,"LAND ROVER RANGE ROVER EVOQUE",1,0
2024,8,"LAND ROVER RANGE ROVER VELAR",1,0
2024,8,"LEXUS RX",1,0
2024,8,"MASERATI GRECALE",1,0
2024,8,"MAXUS E-DELIVER 3",1,0
2024,8,"MERCEDES-BENZ CITAN",1,0
2024,8,"MERCEDES-BENZ CLE",1,0
2024,8,"MERCEDES-BENZ EQS SUV",1,0
2024,8,"MERCEDES-BENZ S-KLASSE",1,0
2024,8,"MITSUBISHI SPACE STAR",1,0
2024,8,"OPEL ASTRA",1,0
2024,8,"OPEL COMBO",1,0
2024,8,"PEUGEOT TRAVELLER",1,0
2024,8,"POLARIS RANGER KINETIC",1,0
2024,8,"POLESTAR 3",1,0
2024,8,"PORSCHE 911",1,0
2024,8,"SEAT ATECA",1,0
2024,8,"SKODA KODIAQ IV",1,0
2024,8,"SUBARU OUTBACK",1,0
2024,8,"SUZUKI SWACE",1,0
2024,8,"TOYOTA PROACE CITY VERSO",1,0
2024,8,"VOLKSWAGEN TAIGO",1,0
2024,8,"VOLKSWAGEN TOUAREG",1,0
2024,8,"VOLVO C40",1,0
2024,8,"VOLVO NILSSON",1,0
2024,8,"YUNLONG JJ 2000 DBP",1,0
2024,8,"ALFA ROMEO TONALE",0,0
2024,8,"AUDI A7",0,0
2024,8,"AUDI A8",0,0
2024,8,"AUDI E-TRON",0,0
2024,8,"AUDI E-TRON GT",0,0
2024,8,"AUDI TT",0,0
2024,8,"BENTLEY FLYING SPUR",0,0
2024,8,"CITROEN BERLINGO",0,0
2024,8,"CITROEN C4 X",0,0
2024,8,"CITROEN C5 X",0,0
2024,8,"CITROEN Ë-C4 X",0,0
2024,8,"CITROEN E-SPACETOURER",0,0
2024,8,"CUPRA ATECA",0,0
2024,8,"DACIA DUSTER",0,0
2024,8,"DACIA SPRING",0,0
2024,8,"DS 7",0,0
2024,8,"DS 7 CROSSBACK",0,0
2024,8,"EAGLE",0,0
2024,8,"EAGLE GOLF CAR",0,0
2024,8,"FERRARI 812",0,0
2024,8,"FORD BRONCO",0,0
2024,8,"HDK NRG CAR",0,0
2024,8,"HYUNDAI BAYON",0,0
2024,8,"JAC E-JS4",0,0
2024,8,"JAGUAR I-PACE",0,0
2024,8,"JEEP COMPASS",0,0
2024,8,"KIA RIO",0,0
2024,8,"LAND ROVER RANGE ROVER SPORT",0,0
2024,8,"LEXUS NX",0,0
2024,8,"LEXUS UX",0,0
2024,8,"LINDEBJERG S1",0,0
2024,8,"MAXUS EUNIQ5",0,0
2024,8,"MAXUS EUNIQ6",0,0
2024,8,"MERCEDES-BENZ B-KLASSE",0,0
2024,8,"MERCEDES-BENZ EQC",0,0
2024,8,"MERCEDES-BENZ EQS",0,0
2024,8,"MERCEDES-BENZ GLS",0,0
2024,8,"MINI CABRIOLET",0,0
2024,8,"MITSUBISHI ASX",0,0
2024,8,"NIO EL7",0,0
2024,8,"NIO ET5",0,0
2024,8,"NIO ET7",0,0
2024,8,"NISSAN LEAF",0,0
2024,8,"NISSAN MICRA",0,0
2024,8,"OPEL GRANDLAND",0,0
2024,8,"PEUGEOT 408",0,0
2024,8,"PORSCHE MACAN",0,0
2024,8,"RENAULT ARKANA",0,0
2024,8,"RENAULT MEGANE",0,0
2024,8,"RENAULT ZOE",0,0
2024,8,"REX Q7",0,0
2024,8,"SSANGYONG KORANDO",0,0
2024,8,"SUBARU XV",0,0
2024,8,"SUZUKI ACROSS",0,0
2024,8,"TESLA MODEL S",0,0
2024,8,"TOYOTA GR86",0,0
2024,8,"TOYOTA LAND CRUISER",0,0
2024,8,"TOYOTA PROACE CITY",0,0
2024,8,"VOLKSWAGEN ARTEON",0,0
