"year","month","brand","model","value"
2023,1,"TOYOTA","AYGO",1023
2023,1,"TOYOTA","BZ4",116
2023,1,"TOYOTA","C-HR",429
2023,1,"TOYOTA","COROLLA",1306
2023,1,"TOYOTA","GR 86",75
2023,1,"TOYOTA","HIGHLANDER",7
2023,1,"TOYOTA","LANDCRUISER",215
2023,1,"TOYOTA","PRIUS",12
2023,1,"TOYOTA","PROACE",407
2023,1,"TOYOTA","RAV 4",109
2023,1,"TOYOTA","SUPRA",22
2023,1,"TOYOTA","YARIS",2804
2023,1,"VOLVO","60",179
2023,1,"VOLVO","90",54
2023,1,"VOLVO","C40",150
2023,1,"VOLVO","XC40",556
2023,1,"VOLVO","XC60",979
2023,1,"VOLVO","XC90",315
2023,1,"VW","ARTEON",1025
2023,1,"VW","CADDY",1523
2023,1,"VW","CRAFTER",257
2023,1,"VW","GOLF",6040
2023,1,"VW","ID. BUZZ",118
2023,1,"VW","ID.3",805
2023,1,"VW","ID.4, ID.5",1471
2023,1,"VW","PASSAT",3030
2023,1,"VW","POLO",1493
2023,1,"VW","SHARAN",200
2023,1,"VW","T-CROSS",2343
2023,1,"VW","T-ROC",4812
2023,1,"VW","TAIGO",2271
2023,1,"VW","TIGUAN",5945
2023,1,"VW","TOUAREG",1000
2023,1,"VW","TOURAN",1699
2023,1,"VW","TRANSPORTER",2618
2023,1,"VW","UP",317
2023,2,"ALFA ROMEO","GIULIA",138
2023,2,"ALFA ROMEO","STELVIO",96
2023,2,"ALFA ROMEO","TONALE",139
2023,2,"ALPINE","A110",17
2023,2,"ASTON MARTIN","DBX",17
2023,2,"ASTON MARTIN","V8",11
2023,2,"AUDI","A1",1404
2023,2,"AUDI","A3",1858
2023,2,"AUDI","A4",3168
2023,2,"AUDI","A5",604
2023,2,"AUDI","A6",2295
2023,2,"AUDI","A7",117
2023,2,"AUDI","A8",105
2023,2,"AUDI","E-TRON GT",113
2023,2,"AUDI","Q2",881
2023,2,"AUDI","Q3",2371
2023,2,"AUDI","Q4",1215
2023,2,"AUDI","Q5",1757
2023,2,"AUDI","Q7",306
2023,2,"AUDI","Q8",1835
2023,2,"AUDI","R8",28
2023,2,"AUDI","TT",116
2023,2,"BENTLEY","BENTAYGA",15
2023,2,"BENTLEY","CONTINENTAL",39
2023,2,"BMW","1ER",1286
2023,2,"BMW","2ER",1369
2023,2,"BMW","3ER",2286
2023,2,"BMW","4ER",1368
2023,2,"BMW","5ER",2132
2023,2,"BMW","6ER",30
2023,2,"BMW","7ER",308
2023,2,"BMW","8ER",141
2023,2,"BMW","IX",149
2023,2,"BMW","X1",2176
2023,2,"BMW","X2",366
2023,2,"BMW","X3",1543
2023,2,"BMW","X4",242
2023,2,"BMW","X5",801
2023,2,"BMW","X6",137
2023,2,"BMW","X7",131
2023,2,"BMW","XM",43
2023,2,"BMW","Z4",273
2023,2,"BYD","ATTO 3",4
2023,2,"CADILLAC","ESCALADE",4
2023,2,"CADILLAC","XT4",15
2023,2,"CITROEN","BERLINGO",921
2023,2,"CITROEN","C3",576
2023,2,"CITROEN","C4",342
2023,2,"CITROEN","C5",547
2023,2,"CITROEN","JUMPER",793
2023,2,"CITROEN","JUMPY",83
2023,2,"DACIA","DUSTER",2012
2023,2,"DACIA","JOGGER",970
2023,2,"DACIA","SANDERO",1644
2023,2,"DACIA","SPRING",164
2023,2,"DS","DS3",35
2023,2,"DS","DS4",51
2023,2,"DS","DS7 CROSSBACK",28
2023,2,"FERRARI","296",18
2023,2,"FERRARI","F8",33
2023,2,"FERRARI","PORTOFINO",20
2023,2,"FERRARI","SF90",13
2023,2,"FIAT","500",2339
2023,2,"FIAT","DOBLO",32
2023,2,"FIAT","DUCATO",1714
2023,2,"FIAT","PANDA",1515
2023,2,"FIAT","TIPO",105
2023,2,"FORD","ECOSPORT",604
2023,2,"FORD","EXPLORER",23
2023,2,"FORD","FIESTA",1201
2023,2,"FORD","FOCUS",2300
2023,2,"FORD","GALAXY",80
2023,2,"FORD","KUGA",983
2023,2,"FORD","MONDEO",2
2023,2,"FORD","MUSTANG",58
2023,2,"FORD","MUSTANG MACH-E",157
2023,2,"FORD","PUMA",1648
2023,2,"FORD","S-MAX",305
2023,2,"FORD","TRANSIT CONNECT",162
2023,2,"FORD","TRANSIT, TOURNEO",1396
2023,2,"GWM","COFFEE 01",5
2023,2,"GWM","FUNKY CAT",5
2023,2,"HONDA","CIVIC",187
2023,2,"HONDA","CR-V",102
2023,2,"HONDA","E",14
2023,2,"HONDA","HR-V",85
2023,2,"HONDA","JAZZ",121
2023,2,"HYUNDAI","BAYON",167
2023,2,"HYUNDAI","G70",14
2023,2,"HYUNDAI","G80",11
2023,2,"HYUNDAI","GV60",16
2023,2,"HYUNDAI","GV70",48
2023,2,"HYUNDAI","GV80",20
2023,2,"HYUNDAI","I 10",1212
2023,2,"HYUNDAI","I 20",386
2023,2,"HYUNDAI","I 30",830
2023,2,"HYUNDAI","IONIQ",1
2023,2,"HYUNDAI","IONIQ5",849
2023,2,"HYUNDAI","IONIQ6",581
2023,2,"HYUNDAI","KONA",1493
2023,2,"HYUNDAI","SANTA FE",278
2023,2,"HYUNDAI","STARIA",243
2023,2,"HYUNDAI","TUCSON",809
2023,2,"INEOS","GRENADIER",8
2023,2,"IVECO","DAILY",64
2023,2,"JAGUAR","E-PACE",51
2023,2,"JAGUAR","F-PACE",47
2023,2,"JAGUAR","F-TYPE",36
2023,2,"JAGUAR","I-PACE",18
2023,2,"JAGUAR","XE",44
2023,2,"JAGUAR","XF",58
2023,2,"JEEP","COMPASS",309
2023,2,"JEEP","RENEGADE",400
2023,2,"JEEP","WRANGLER",52
2023,2,"KIA","CEED",1729
2023,2,"KIA","EV6",153
2023,2,"KIA","NIRO",161
2023,2,"KIA","PICANTO",516
2023,2,"KIA","RIO",423
2023,2,"KIA","SORENTO",176
2023,2,"KIA","SOUL",16
2023,2,"KIA","SPORTAGE",863
2023,2,"KIA","STINGER",53
2023,2,"KIA","STONIC",458
2023,2,"LADA","NIVA",10
2023,2,"LAMBORGHINI","URUS",54
2023,2,"LAND ROVER","DEFENDER",249
2023,2,"LAND ROVER","DISCOVERY",31
2023,2,"LAND ROVER","DISCOVERY SPORT",121
2023,2,"LAND ROVER","RANGE ROVER",88
2023,2,"LAND ROVER","RANGE ROVER EVOQUE",193
2023,2,"LAND ROVER","RANGE ROVER SPORT",97
2023,2,"LAND ROVER","RANGE ROVER VELAR",128
2023,2,"LEXUS","ES",26
2023,2,"LEXUS","LC",7
2023,2,"LEXUS","NX",48
2023,2,"LEXUS","RX",47
2023,2,"LEXUS","UX",13
2023,2,"LOTUS",,12
2023,2,"LUCID",,3
2023,2,"LYNK & CO","01",272
2023,2,"MAN","TGE",162
2023,2,"MASERATI","GHIBLI",3
2023,2,"MASERATI","GRECALE",116
2023,2,"MASERATI","LEVANTE",12
2023,2,"MAZDA","2",466
2023,2,"MAZDA","3",417
2023,2,"MAZDA","6",126
2023,2,"MAZDA","CX-5",941
2023,2,"MAZDA","CX-30",307
2023,2,"MAZDA","CX-60",562
2023,2,"MAZDA","MX-5",47
2023,2,"MAZDA","MX-30",166
2023,2,"MERCEDES","A-KLASSE",2212
2023,2,"MERCEDES","AMG GT",102
2023,2,"MERCEDES","B-KLASSE",856
2023,2,"MERCEDES","C-KLASSE",3176
2023,2,"MERCEDES","CITAN",482
2023,2,"MERCEDES","CLA-KLASSE",1395
2023,2,"MERCEDES","CLS",62
2023,2,"MERCEDES","E-KLASSE",1908
2023,2,"MERCEDES","E-KLASSE COUPE",198
2023,2,"MERCEDES","G-KLASSE",564
2023,2,"MERCEDES","GL-KLASSE, GLS",170
2023,2,"MERCEDES","GLA",1778
2023,2,"MERCEDES","GLB",1460
2023,2,"MERCEDES","GLK, GLC",3102
2023,2,"MERCEDES","ML-KLASSE, GLE",705
2023,2,"MERCEDES","S-KLASSE",589
2023,2,"MERCEDES","SL",183
2023,2,"MERCEDES","SPRINTER",639
2023,2,"MERCEDES","V-KLASSE",1470
2023,2,"MERCEDES","VITO",626
2023,2,"MG ROEWE","4",776
2023,2,"MG ROEWE","5",82
2023,2,"MG ROEWE","MARVEL",62
2023,2,"MG ROEWE","RX6",220
2023,2,"MG ROEWE","ZS",189
2023,2,"MINI","MINI",2976
2023,2,"MITSUBISHI","ASX",20
2023,2,"MITSUBISHI","ECLIPSE CROSS",57
2023,2,"MITSUBISHI","MIRAGE, SPACE STAR",626
2023,2,"MORGAN",,1
2023,2,"NIO","ET7",8
2023,2,"NISSAN","ARIYA",21
2023,2,"NISSAN","JUKE",365
2023,2,"NISSAN","LEAF",65
2023,2,"NISSAN","MICRA",368
2023,2,"NISSAN","PRIMASTAR",43
2023,2,"NISSAN","QASHQAI",1169
2023,2,"NISSAN","TOWNSTAR",111
2023,2,"NISSAN","X-TRAIL",317
2023,2,"OPEL","ASTRA",1180
2023,2,"OPEL","COMBO",457
2023,2,"OPEL","CORSA",3191
2023,2,"OPEL","CROSSLAND X",1023
2023,2,"OPEL","GRANDLAND X",659
2023,2,"OPEL","INSIGNIA",414
2023,2,"OPEL","MOKKA",2332
2023,2,"OPEL","ZAFIRA LIFE",379
2023,2,"PEUGEOT","208",1059
2023,2,"PEUGEOT","308",509
2023,2,"PEUGEOT","408",156
2023,2,"PEUGEOT","508",101
2023,2,"PEUGEOT","2008",768
2023,2,"PEUGEOT","3008",552
2023,2,"PEUGEOT","5008",331
2023,2,"PEUGEOT","BOXER",210
2023,2,"PEUGEOT","EXPERT",56
2023,2,"PEUGEOT","RIFTER",425
2023,2,"POLESTAR","2",125
2023,2,"PORSCHE","911",723
2023,2,"PORSCHE","BOXSTER",93
2023,2,"PORSCHE","CAYENNE",567
2023,2,"PORSCHE","CAYMAN",84
2023,2,"PORSCHE","MACAN",562
2023,2,"PORSCHE","PANAMERA",123
2023,2,"PORSCHE","TAYCAN",325
2023,2,"RENAULT","ARKANA",266
2023,2,"RENAULT","AUSTRAL",243
2023,2,"RENAULT","CAPTUR",640
2023,2,"RENAULT","CLIO",876
2023,2,"RENAULT","ESPACE",12
2023,2,"RENAULT","KANGOO",145
2023,2,"RENAULT","KOLEOS",156
2023,2,"RENAULT","MEGANE",353
2023,2,"RENAULT","SCENIC",70
2023,2,"RENAULT","TRAFIC",157
2023,2,"RENAULT","TWINGO",395
2023,2,"RENAULT","ZOE",283
2023,2,"ROLLS ROYCE","CULLINAN",7
2023,2,"SEAT","ALHAMBRA",113
2023,2,"SEAT","ARONA",1219
2023,2,"SEAT","ATECA",1466
2023,2,"SEAT","BORN",898
2023,2,"SEAT","FORMENTOR",1837
2023,2,"SEAT","IBIZA",1112
2023,2,"SEAT","LEON",1181
2023,2,"SEAT","TARRACO",282
2023,2,"SKODA","ENYAQ",799
2023,2,"SKODA","FABIA",1876
2023,2,"SKODA","KAMIQ",1305
2023,2,"SKODA","KAROQ",1733
2023,2,"SKODA","KODIAQ",1607
2023,2,"SKODA","OCTAVIA",4631
2023,2,"SKODA","SCALA",571
2023,2,"SKODA","SUPERB",1221
2023,2,"SMART","1",5
2023,2,"SMART","FORTWO",840
2023,2,"SSANGYONG","KORANDO",95
2023,2,"SSANGYONG","REXTON",50
2023,2,"SSANGYONG","TIVOLI",48
2023,2,"SUBARU","FORESTER",131
2023,2,"SUBARU","IMPREZA",17
2023,2,"SUBARU","OUTBACK",62
2023,2,"SUBARU","XV",69
2023,2,"SUZUKI","ACROSS",3
2023,2,"SUZUKI","IGNIS",272
2023,2,"SUZUKI","JIMNY",
2023,2,"SUZUKI","SWACE",52
2023,2,"SUZUKI","SWIFT",300
2023,2,"SUZUKI","SX4",576
2023,2,"SUZUKI","VITARA",918
2023,2,"TESLA","MODEL 3",1239
2023,2,"TESLA","MODEL S",20
2023,2,"TESLA","MODEL X",9
2023,2,"TESLA","MODEL Y",6442
2023,2,"TOYOTA","AYGO",657
2023,2,"TOYOTA","BZ4",464
2023,2,"TOYOTA","C-HR",595
2023,2,"TOYOTA","COROLLA",803
2023,2,"TOYOTA","GR 86",18
2023,2,"TOYOTA","HIGHLANDER",3
2023,2,"TOYOTA","LANDCRUISER",177
2023,2,"TOYOTA","PRIUS",5
2023,2,"TOYOTA","PROACE",375
2023,2,"TOYOTA","RAV 4",193
2023,2,"TOYOTA","SUPRA",13
2023,2,"TOYOTA","YARIS",2494
2023,2,"VOLVO","60",250
2023,2,"VOLVO","90",108
2023,2,"VOLVO","C40",255
2023,2,"VOLVO","XC40",867
2023,2,"VOLVO","XC60",1105
2023,2,"VOLVO","XC90",394
2023,2,"VW","ARTEON",877
2023,2,"VW","CADDY",1433
2023,2,"VW","CRAFTER",413
2023,2,"VW","GOLF",7655
2023,2,"VW","ID. BUZZ",223
2023,2,"VW","ID.3",1898
2023,2,"VW","ID.4, ID.5",2099
2023,2,"VW","PASSAT",2963
2023,2,"VW","POLO",2195
2023,2,"VW","SHARAN",60
2023,2,"VW","T-CROSS",2442
2023,2,"VW","T-ROC",5462
2023,2,"VW","TAIGO",1948
2023,2,"VW","TIGUAN",4640
2023,2,"VW","TOUAREG",655
2023,2,"VW","TOURAN",1417
2023,2,"VW","TRANSPORTER",2503
2023,2,"VW","UP",486
2023,3,"AIWAYS","U6",15
2023,3,"ALFA ROMEO","GIULIA",131
2023,3,"ALFA ROMEO","STELVIO",142
2023,3,"ALFA ROMEO","TONALE",261
2023,3,"ALPINE","A110",17
2023,3,"ASTON MARTIN","DBX",27
2023,3,"ASTON MARTIN","V8",18
2023,3,"AUDI","A1",2660
2023,3,"AUDI","A3",3208
2023,3,"AUDI","A4",4328
2023,3,"AUDI","A5",1184
2023,3,"AUDI","A6",3312
2023,3,"AUDI","A7",236
2023,3,"AUDI","A8",177
2023,3,"AUDI","E-TRON GT",180
2023,3,"AUDI","Q2",1979
2023,3,"AUDI","Q3",3236
2023,3,"AUDI","Q4",1649
2023,3,"AUDI","Q5",2911
2023,3,"AUDI","Q7",509
2023,3,"AUDI","Q8",1705
2023,3,"AUDI","R8",20
2023,3,"AUDI","TT",263
2023,3,"BENTLEY","BENTAYGA",30
2023,3,"BENTLEY","CONTINENTAL",66
2023,3,"BMW","1ER",1885
2023,3,"BMW","2ER",2155
2023,3,"BMW","3ER",3228
2023,3,"BMW","4ER",2257
2023,3,"BMW","5ER",2541
2023,3,"BMW","6ER",44
2023,3,"BMW","7ER",281
2023,3,"BMW","8ER",227
2023,3,"BMW","IX",409
2023,3,"BMW","X1",3367
2023,3,"BMW","X2",383
2023,3,"BMW","X3",1755
2023,3,"BMW","X4",370
2023,3,"BMW","X5",1260
2023,3,"BMW","X6",233
2023,3,"BMW","X7",187
2023,3,"BMW","XM",14
2023,3,"BMW","Z4",536
2023,3,"BYD","ATTO 3",7
2023,3,"CADILLAC","ESCALADE",6
2023,3,"CADILLAC","XT4",14
2023,3,"CITROEN","BERLINGO",1191
2023,3,"CITROEN","C3",497
2023,3,"CITROEN","C4",380
2023,3,"CITROEN","C5",492
2023,3,"CITROEN","JUMPER",1350
2023,3,"CITROEN","JUMPY",118
2023,3,"DACIA","DUSTER",2142
2023,3,"DACIA","JOGGER",1205
2023,3,"DACIA","SANDERO",2064
2023,3,"DACIA","SPRING",514
2023,3,"DS","DS3",57
2023,3,"DS","DS4",70
2023,3,"DS","DS7 CROSSBACK",95
2023,3,"FERRARI","296",42
2023,3,"FERRARI","F8",45
2023,3,"FERRARI","PORTOFINO",27
2023,3,"FERRARI","ROMA",28
2023,3,"FERRARI","SF90",35
2023,3,"FIAT","500",4384
2023,3,"FIAT","DOBLO",18
2023,3,"FIAT","DUCATO",2791
2023,3,"FIAT","PANDA",940
2023,3,"FIAT","TIPO",55
2023,3,"FORD","ECOSPORT",427
2023,3,"FORD","EXPLORER",45
2023,3,"FORD","FIESTA",1591
2023,3,"FORD","FOCUS",2788
2023,3,"FORD","GALAXY",153
2023,3,"FORD","KUGA",1649
2023,3,"FORD","MONDEO",8
2023,3,"FORD","MUSTANG",110
2023,3,"FORD","MUSTANG MACH-E",427
2023,3,"FORD","PUMA",1573
2023,3,"FORD","S-MAX",355
2023,3,"FORD","TRANSIT CONNECT",233
2023,3,"FORD","TRANSIT, TOURNEO",2121
2023,3,"GWM","COFFEE 01",
2023,3,"GWM","FUNKY CAT",162
2023,3,"HONDA","CIVIC",102
2023,3,"HONDA","CR-V",101
2023,3,"HONDA","E",24
2023,3,"HONDA","HR-V",35
2023,3,"HONDA","JAZZ",203
2023,3,"HYUNDAI","BAYON",125
2023,3,"HYUNDAI","G70",18
2023,3,"HYUNDAI","G80",11
2023,3,"HYUNDAI","GV60",8
2023,3,"HYUNDAI","GV70",39
2023,3,"HYUNDAI","GV80",10
2023,3,"HYUNDAI","I 10",1475
2023,3,"HYUNDAI","I 20",733
2023,3,"HYUNDAI","I 30",1353
2023,3,"HYUNDAI","IONIQ",7
2023,3,"HYUNDAI","IONIQ5",697
2023,3,"HYUNDAI","IONIQ6",478
2023,3,"HYUNDAI","KONA",2431
2023,3,"HYUNDAI","SANTA FE",241
2023,3,"HYUNDAI","STARIA",257
2023,3,"HYUNDAI","TUCSON",1777
2023,3,"INEOS","GRENADIER",
2023,3,"IVECO","DAILY",82
2023,3,"JAGUAR","E-PACE",85
2023,3,"JAGUAR","F-PACE",92
2023,3,"JAGUAR","F-TYPE",101
2023,3,"JAGUAR","I-PACE",37
2023,3,"JAGUAR","XE",90
2023,3,"JAGUAR","XF",26
2023,3,"JEEP","COMPASS",564
2023,3,"JEEP","RENEGADE",367
2023,3,"JEEP","WRANGLER",101
