"year","month","manufacturer","market_percent_total","total_registered"
2023,4,"TOYOTA",5.7,55407
2023,4,"LEXUS",0.4,4303
2023,4,"BMW_GROUP",6.9,66550
2023,4,"BMW",5.5,52745
2023,4,"MINI",1.4,13804
2023,4,"MERCEDES_BENZ",5.4,51659
2023,4,"MERCEDES",5.1,49474
2023,4,"SMART",0.2,2185
2023,4,"FORD",4.2,40998
2023,4,"TESLA",1.5,14030
2023,4,"NISSAN",1.9,18602
2023,4,"VOLVO_CARS",2.2,21043
2023,4,"MAZDA",1.2,11698
2023,4,"SUZUKI",1.3,12682
2023,4,"JAGUAR_LAND_ROVER_GROUP",1.1,10880
2023,4,"LAND_ROVER",1,9476
2023,4,"JAGUAR",0.1,1404
2023,4,"HONDA",0.4,3933
2023,4,"MITSUBISHI",0.3,3147
2023,5,"VOLKSWAGEN_GROUP",25.8,289451
2023,5,"VOLKSWAGEN",10.5,118169
2023,5,"AUDI",5.9,65673
2023,5,"SKODA",5.1,57634
2023,5,"SEAT",1.8,20593
2023,5,"CUPRA",1.6,17913
2023,5,"PORSCHE",0.8,8582
2023,5,"STELLANTIS",17,190688
2023,5,"PEUGEOT",5.5,61644
2023,5,"OPEL_VAUXHALL",3.6,40841
2023,5,"FIAT",2.8,31479
2023,5,"CITROEN",2.7,30325
2023,5,"JEEP",1,11150
2023,5,"DS",0.4,5000
2023,5,"ALFA_ROMEO",0.4,4729
2023,5,"LANCIA_CHRYSLER",0.4,4706
2023,5,"RENAULT_GROUP",9.9,110549
2023,5,"RENAULT",5.5,62073
2023,5,"DACIA",4.3,48022
2023,5,"ALPINE",0,454
2023,5,"HYUNDAI_GROUP",8.7,97081
2023,5,"KIA",4.6,51513
2023,5,"HYUNDAI",4.1,45568
2023,5,"TOYOTA_GROUP",6.7,74604
2023,5,"TOYOTA",6.1,68779
2023,5,"LEXUS",0.5,5825
2023,5,"BMW_GROUP",7.6,84781
2023,5,"BMW",6.2,69499
2023,5,"MINI",1.4,15282
2023,5,"MERCEDES_BENZ",4.9,55324
2023,5,"MERCEDES",4.7,53045
2023,5,"SMART",0.2,2279
2023,5,"FORD",4,44900
2023,5,"TESLA",2.6,29600
2023,5,"NISSAN",1.8,20703
2023,5,"VOLVO_CARS",2.4,26804
2023,5,"MAZDA",1.2,13602
2023,5,"SUZUKI",1.4,15987
2023,5,"JAGUAR_LAND_ROVER_GROUP",1,10685
2023,5,"LAND_ROVER",0.8,8476
2023,5,"JAGUAR",0.2,2209
2023,5,"HONDA",0.3,3729
2023,5,"MITSUBISHI",0.3,3814
2023,6,"VOLKSWAGEN_GROUP",25.7,325612
2023,6,"VOLKSWAGEN",10.9,137923
2023,6,"AUDI",5.7,72317
2023,6,"SKODA",4.9,61479
2023,6,"SEAT",1.9,24090
2023,6,"CUPRA",1.5,19590
2023,6,"PORSCHE",0.7,9320
2023,6,"STELLANTIS",16.6,210495
2023,6,"PEUGEOT",5.1,64485
2023,6,"OPEL_VAUXHALL",3.8,47555
2023,6,"FIAT",2.8,35034
2023,6,"CITROEN",2.8,35334
2023,6,"JEEP",0.9,11975
2023,6,"DS",0.4,5301
2023,6,"ALFA_ROMEO",0.4,5496
2023,6,"LANCIA_CHRYSLER",0.3,4351
2023,6,"RENAULT_GROUP",10.5,133110
2023,6,"RENAULT",6.1,76865
2023,6,"DACIA",4.4,55663
2023,6,"ALPINE",0,582
2023,6,"HYUNDAI_GROUP",8.4,106605
2023,6,"KIA",4.3,54611
2023,6,"HYUNDAI",4.1,51994
2023,6,"TOYOTA_GROUP",6.4,81607
2023,6,"TOYOTA",5.9,75131
2023,6,"LEXUS",0.5,6476
2023,6,"BMW_GROUP",6.6,83729
2023,6,"BMW",5.2,66186
2023,6,"MINI",1.4,17544
2023,6,"MERCEDES_BENZ",5,63239
2023,6,"MERCEDES",4.8,60966
2023,6,"SMART",0.2,2273
2023,6,"FORD",4,51234
2023,6,"TESLA",3.8,47606
2023,6,"NISSAN",2.1,26785
2023,6,"VOLVO_CARS",2,25660
2023,6,"MAZDA",1.4,17325
2023,6,"SUZUKI",1.3,16718
2023,6,"JAGUAR_LAND_ROVER_GROUP",1.1,13648
2023,6,"LAND_ROVER",0.9,11030
2023,6,"JAGUAR",0.2,2618
2023,6,"MITSUBISHI",0.3,4389
2023,6,"HONDA",0.4,4826
2023,7,"VOLKSWAGEN_GROUP",27.4,280294
2023,7,"VOLKSWAGEN",11,112847
2023,7,"AUDI",5.9,60540
2023,7,"SKODA",5.6,57600
2023,7,"SEAT",2.2,22065
2023,7,"CUPRA",1.8,18584
2023,7,"PORSCHE",0.8,7874
2023,7,"STELLANTIS",15.7,160251
2023,7,"PEUGEOT",4.5,46193
2023,7,"OPEL_VAUXHALL",3.4,34391
2023,7,"FIAT",3.1,31398
2023,7,"CITROEN",2.5,25735
2023,7,"JEEP",1,10538
2023,7,"DS",0.4,3788
2023,7,"ALFA_ROMEO",0.4,4060
2023,7,"LANCIA_CHRYSLER",0.3,3354
2023,7,"RENAULT_GROUP",9.4,95740
2023,7,"RENAULT",5.1,52528
2023,7,"DACIA",4.2,42757
2023,7,"ALPINE",0,455
2023,7,"HYUNDAI_GROUP",9.5,96672
2023,7,"KIA",4.8,49099
2023,7,"HYUNDAI",4.7,47573
2023,7,"TOYOTA_GROUP",6.8,69795
2023,7,"TOYOTA",6.4,65125
2023,7,"LEXUS",0.5,4670
2023,7,"BMW_GROUP",7,71920
2023,7,"BMW",5.5,56745
2023,7,"MINI",1.5,15175
2023,7,"MERCEDES_BENZ",5,51202
2023,7,"MERCEDES",4.8,48964
2023,7,"SMART",0.2,2238
2023,7,"FORD",4.1,41507
2023,7,"TESLA",1.7,17842
2023,7,"NISSAN",2.2,22164
2023,7,"VOLVO_CARS",2.1,21100
2023,7,"MAZDA",1.3,13078
2023,7,"SUZUKI",1.5,15077
2023,7,"JAGUAR_LAND_ROVER_GROUP",1.2,12263
2023,7,"LAND_ROVER",1,10348
2023,7,"JAGUAR",0.2,1915
2023,7,"HONDA",0.5,4916
2023,7,"MITSUBISHI",0.3,2918
2023,8,"VOLKSWAGEN_GROUP",26.6,240482
2023,8,"VOLKSWAGEN",11,99333
2023,8,"AUDI",5.7,51264
2023,8,"SKODA",5.6,50414
2023,8,"SEAT",1.8,16163
2023,8,"CUPRA",1.9,16880
2023,8,"PORSCHE",0.7,5919
2023,8,"STELLANTIS",16.1,145392
2023,8,"PEUGEOT",4.6,42035
2023,8,"OPEL_VAUXHALL",3.7,33782
2023,8,"FIAT",2.9,26050
2023,8,"CITROEN",2.9,26564
2023,8,"JEEP",0.9,8089
2023,8,"DS",0.4,3380
2023,8,"ALFA_ROMEO",0.3,2546
2023,8,"LANCIA_CHRYSLER",0.3,2495
2023,8,"RENAULT_GROUP",8.8,79467
2023,8,"RENAULT",4.5,41043
2023,8,"DACIA",4.2,38215
2023,8,"ALPINE",0,209
2023,8,"HYUNDAI_GROUP",8.5,76631
2023,8,"KIA",4.1,37104
2023,8,"HYUNDAI",4.4,39527
2023,8,"TOYOTA_GROUP",7.1,64484
2023,8,"TOYOTA",6.7,60306
2023,8,"LEXUS",0.5,4178
2023,8,"BMW_GROUP",7.1,64316
2023,8,"BMW",5.8,52385
2023,8,"MINI",1.3,11930
2023,8,"MERCEDES_BENZ",5.3,48220
2023,8,"MERCEDES",4.9,44631
2023,8,"SMART",0.4,3589
2023,8,"FORD",3.8,34658
2023,8,"TESLA",3.8,34088
2023,8,"NISSAN",1.8,16314
2023,8,"VOLVO_CARS",1.7,15192
2023,8,"SUZUKI",1.5,13701
2023,8,"MAZDA",1.3,11967
2023,8,"JAGUAR_LAND_ROVER_GROUP",0.8,7444
2023,8,"LAND_ROVER",0.7,6284
2023,8,"JAGUAR",0.1,1160
2023,8,"HONDA",0.4,3817
2023,8,"MITSUBISHI",0.3,3160
2023,9,"VOLKSWAGEN_GROUP",24.4,284113
2023,9,"VOLKSWAGEN",9.9,115448
2023,9,"AUDI",5.5,64113
2023,9,"SKODA",5,57952
2023,9,"SEAT",1.6,18906
2023,9,"CUPRA",1.7,19316
2023,9,"PORSCHE",0.7,7798
2023,9,"STELLANTIS",17.2,200826
2023,9,"PEUGEOT",4.9,57438
2023,9,"OPEL_VAUXHALL",3.9,45361
2023,9,"FIAT",3,35176
2023,9,"CITROEN",3.3,38090
2023,9,"JEEP",1,11945
2023,9,"DS",0.4,4160
2023,9,"ALFA_ROMEO",0.3,4049
2023,9,"LANCIA_CHRYSLER",0.3,3795
2023,9,"RENAULT_GROUP",8.8,102461
2023,9,"RENAULT",5.1,59318
2023,9,"DACIA",3.7,42877
2023,9,"ALPINE",0,266
2023,9,"HYUNDAI_GROUP",8.8,102390
2023,9,"KIA",4.9,56919
2023,9,"HYUNDAI",3.9,45471
2023,9,"TOYOTA_GROUP",7,82112
2023,9,"TOYOTA",6.4,74928
2023,9,"LEXUS",0.6,7184
2023,9,"BMW_GROUP",6.7,77711
2023,9,"BMW",5.3,61770
2023,9,"MINI",1.4,15940
2023,9,"MERCEDES_BENZ",6,69593
2023,9,"MERCEDES",5.8,67846
2023,9,"SMART",0.1,1747
2023,9,"FORD",4.3,50709
2023,9,"TESLA",2.9,34080
2023,9,"NISSAN",2.8,32116
2023,9,"VOLVO_CARS",2.1,24160
2023,9,"SUZUKI",1.7,20412
2023,9,"MAZDA",1.7,19838
2023,9,"JAGUAR_LAND_ROVER_GROUP",1.3,15467
2023,9,"LAND_ROVER",1.1,12393
2023,9,"JAGUAR",0.3,3074
2023,9,"HONDA",0.6,7459
2023,9,"MITSUBISHI",0.3,3929
2023,10,"VOLKSWAGEN_GROUP",24.8,257526
2023,10,"VOLKSWAGEN",9.3,97132
2023,10,"AUDI",6,62754
2023,10,"SKODA",5.2,53850
2023,10,"SEAT",1.5,15989
2023,10,"CUPRA",1.7,17613
2023,10,"PORSCHE",0.9,9624
2023,10,"STELLANTIS",17.4,180327
2023,10,"PEUGEOT",5,52017
2023,10,"OPEL_VAUXHALL",3.5,36516
2023,10,"FIAT",3.3,34105
2023,10,"CITROEN",3.2,33193
2023,10,"JEEP",1.2,12075
2023,10,"DS",0.3,3310
2023,10,"ALFA_ROMEO",0.4,4232
2023,10,"LANCIA_CHRYSLER",0.4,4228
2023,10,"RENAULT_GROUP",9.9,103153
2023,10,"RENAULT",5.4,56629
2023,10,"DACIA",4.4,46222
2023,10,"ALPINE",0,302
2023,10,"HYUNDAI_GROUP",8.6,89551
2023,10,"KIA",4.5,46328
2023,10,"HYUNDAI",4.2,43223
2023,10,"TOYOTA_GROUP",7.2,74964
2023,10,"TOYOTA",6.7,70026
2023,10,"LEXUS",0.5,4938
2023,10,"BMW_GROUP",7.3,75979
2023,10,"BMW",5.9,60920
2023,10,"MINI",1.4,15059
2023,10,"MERCEDES_BENZ",5.4,56377
2023,10,"MERCEDES",5.2,53872
2023,10,"SMART",0.2,2505
2023,10,"FORD",4,41263
2023,10,"TESLA",1.7,18023
2023,10,"NISSAN",2.1,22100
2023,10,"VOLVO_CARS",2.4,24742
2023,10,"SUZUKI",1.6,16162
2023,10,"MAZDA",1.4,14207
2023,10,"JAGUAR_LAND_ROVER_GROUP",1.2,12250
2023,10,"LAND_ROVER",1,9928
2023,10,"JAGUAR",0.2,2322
2023,10,"HONDA",0.6,5829
2023,10,"MITSUBISHI",0.4,3740
2023,11,"VOLKSWAGEN_GROUP",25.8,277910
2023,11,"VOLKSWAGEN",10.4,111668
2023,11,"AUDI",5.7,61639
2023,11,"SKODA",5.7,61144
2023,11,"SEAT",1.8,18856
2023,11,"CUPRA",1.5,16533
2023,11,"PORSCHE",0.7,7489
2023,11,"STELLANTIS",14.9,160499
2023,11,"PEUGEOT",4.3,45814
2023,11,"OPEL_VAUXHALL",3.3,35658
2023,11,"FIAT",2.6,28499
2023,11,"CITROEN",2.6,27903
2023,11,"JEEP",1,10753
2023,11,"ALFA_ROMEO",0.4,4410
2023,11,"DS",0.3,2862
2023,11,"LANCIA_CHRYSLER",0.4,4003
2023,11,"RENAULT_GROUP",9.5,102312
2023,11,"RENAULT",5.1,54839
2023,11,"DACIA",4.4,47114
2023,11,"ALPINE",0,359
