"year","month","model","ytd_registrations","ytd_market_share"
2023,11,"BMW_I4",1620,3.7
2023,11,"BMW_X1",1572,3.6
2023,11,"BMW_X3",1209,2.8
2023,11,"SONSTIGE_PKW_MIT_ELEKTROANTRIEB",20119,46.1
2023,12,"TESLA_MODEL_Y",6039,12.7
2023,12,"SKODA_ENYAQ",3743,7.9
2023,12,"CUPRA_BORN",2649,5.6
2023,12,"VW_ID.4",2302,4.8
2023,12,"TESLA_MODEL_3",1946,4.1
2023,12,"BMW_I4",1927,4
2023,12,"AUDI_Q4",1873,3.9
2023,12,"BMW_X1",1812,3.8
2023,12,"VW_ID.3",1761,3.7
2023,12,"BMW_X3",1246,2.6
2023,12,"SONSTIGE_PKW_MIT_ELEKTROANTRIEB",22323,46.9
2024,1,"TESLA_MODEL_Y",304,10.8
2024,1,"BMW_I4",214,7.6
2024,1,"SKODA_ENYAQ",193,6.8
2024,1,"AUDI_Q4",122,4.3
2024,1,"BMW_X1",111,3.9
2024,1,"CUPRA_BORN",107,3.8
2024,1,"MG_4",87,3.1
2024,1,"VW_ID.4",76,2.7
2024,1,"AUDI_Q8",74,2.6
2024,1,"TESLA_MODEL_3",70,2.5
2024,1,"SONSTIGE_PKW_MIT_ELEKTROANTRIEB",1465,51.9
2024,2,"TESLA_MODEL_Y",984,16
2024,2,"BMW_I4",409,6.7
2024,2,"SKODA_ENYAQ",344,5.6
2024,2,"AUDI_Q4",259,4.2
2024,2,"TESLA_MODEL_3",258,4.2
2024,2,"BMW_X1",245,4
2024,2,"CUPRA_BORN",167,2.7
2024,2,"BMW_X3",166,2.7
2024,2,"MG_4",156,2.5
2024,2,"VW_ID.4",146,2.4
2024,2,"SONSTIGE_PKW_MIT_ELEKTROANTRIEB",3011,49
2024,3,"TESLA_MODEL_Y",1962,18.2
2024,3,"BMW_I4",608,5.6
2024,3,"TESLA_MODEL_3",497,4.6
2024,3,"AUDI_Q4",483,4.5
2024,3,"BMW_X1",435,4
2024,3,"SKODA_ENYAQ",423,3.9
2024,3,"VW_ID.4",288,2.7
2024,3,"BYD_SEAL",284,2.6
2024,3,"CUPRA_BORN",264,2.4
2024,3,"MG_4",264,2.4
2024,3,"SONSTIGE_PKW_MIT_ELEKTROANTRIEB",5294,49
2024,4,"TESLA_MODEL_Y",2275,16.2
2024,4,"BMW_I4",792,5.6
2024,4,"AUDI_Q4",671,4.8
2024,4,"BMW_X1",626,4.5
2024,4,"TESLA_MODEL_3",561,4
2024,4,"SKODA_ENYAQ",520,3.7
2024,4,"BYD_SEAL",414,2.9
2024,4,"MG_4",402,2.9
2024,4,"CUPRA_BORN",392,2.8
2024,4,"VW_ID.4",372,2.7
2024,4,"SONSTIGE_PKW_MIT_ELEKTROANTRIEB",7009,49.9
2024,5,"TESLA_MODEL_Y",2583,14.8
2024,5,"BMW_I4",1048,6
