"year","month","brand","registrations"
2023,12,"LEXUS",26
2023,12,"POLESTAR",23
2023,12,"PEUGEOT",12
2023,12,"DFSK",12
2023,12,"HONDA",9
2023,12,"AUDI",6
2023,12,"SGMW",1
2024,1,"TESLA",953
2024,1,"BYD",900
2024,1,"MERCEDES_BENZ",281
2024,1,"B.M.W.",276
2024,1,"MAXUS",170
2024,1,"M.G.",151
2024,1,"KIA",137
2024,1,"HYUNDAI",63
2024,1,"NISSAN",35
2024,1,"LEXUS",29
2024,1,"PORSCHE",27
2024,1,"HONDA",24
2024,1,"VOLVO",21
2024,1,"ORA",16
2024,1,"POLESTAR",14
2024,1,"DFSK",14
2024,1,"PEUGEOT",13
2024,1,"AUDI",11
2024,1,"MINI",3
2024,1,"SGMW",1
2024,1,"FIAT",1
2024,2,"TESLA",1520
2024,2,"BYD",658
2024,2,"MERCEDES_BENZ",279
2024,2,"B.M.W.",241
2024,2,"MAXUS",199
2024,2,"M.G.",133
2024,2,"KIA",105
2024,2,"VOLVO",92
2024,2,"TOYOTA",62
2024,2,"HONDA",46
2024,2,"HYUNDAI",24
2024,2,"ORA",22
2024,2,"PORSCHE",21
2024,2,"NISSAN",19
2024,2,"LEXUS",16
2024,2,"POLESTAR",8
2024,2,"DFSK",7
2024,2,"AUDI",7
2024,2,"WULING",6
2024,2,"PEUGEOT",4
2024,2,"MINI",1
2024,2,"JAGUAR",1
2024,3,"TESLA",862
2024,3,"BYD",812
2024,3,"B.M.W.",558
2024,3,"SMART",520
2024,3,"MERCEDES_BENZ",441
2024,3,"MAXUS",269
2024,3,"M.G.",257
2024,3,"AUDI",231
2024,3,"TOYOTA",226
2024,3,"VOLKSWAGEN",155
2024,3,"KIA",124
2024,3,"VOLVO",71
2024,3,"KG_MOBILITY",62
2024,3,"SUBARU",55
2024,3,"ORA",53
2024,3,"HYUNDAI",38
2024,3,"LEXUS",36
2024,3,"NISSAN",29
2024,3,"PORSCHE",27
2024,3,"HONDA",23
2024,3,"POLESTAR",22
2024,3,"DFSK",16
2024,3,"WULING",3
2024,3,"FIAT",3
2024,3,"ROLLS_ROYCE",1
2024,3,"MINI",1
2024,3,"LOTUS",1
2024,4,"B.M.W.",1303
2024,4,"MERCEDES_BENZ",974
2024,4,"TESLA",523
2024,4,"BYD",501
2024,4,"MAXUS",465
2024,4,"SMART",347
2024,4,"HYUNDAI",210
2024,4,"VOLKSWAGEN",193
2024,4,"KIA",167
2024,4,"M.G.",149
2024,4,"TOYOTA",97
2024,4,"PORSCHE",72
2024,4,"AUDI",60
2024,4,"LEXUS",49
2024,4,"VOLVO",48
2024,4,"SUBARU",47
2024,4,"KG_MOBILITY",41
2024,4,"PEUGEOT",38
2024,4,"NISSAN",33
2024,4,"POLESTAR",23
2024,4,"HONDA",20
2024,4,"ORA",11
2024,4,"LOTUS",7
2024,4,"DFSK",5
2024,5,"TESLA",616
2024,5,"BYD",548
2024,5,"MERCEDES_BENZ",128
2024,5,"M.G.",90
2024,5,"B.M.W.",71
2024,5,"GAC_AION",37
2024,5,"VOLVO",34
2024,5,"SUBARU",25
2024,5,"DFSK",15
2024,5,"SMART",12
2024,5,"ORA",12
2024,5,"MAXUS",11
2024,5,"NISSAN",9
2024,5,"POLESTAR",8
2024,5,"KG_MOBILITY",8
2024,5,"PEUGEOT",5
2024,5,"HONDA",4
2024,5,"KIA",3
2024,5,"AUDI",3
2024,5,"VOLKSWAGEN",2
2024,5,"TOYOTA",2
2024,5,"PORSCHE",2
2024,5,"HYUNDAI",2
2024,5,"WULING",1
2024,5,"LEXUS",1
2024,6,"TESLA",609
2024,6,"BYD",408
2024,6,"B.M.W.",166
2024,6,"VOLVO",53
2024,6,"POLESTAR",44
2024,6,"M.G.",32
2024,6,"ORA",30
2024,6,"MAXUS",29
2024,6,"GAC_AION",24
2024,6,"KG_MOBILITY",21
2024,6,"SMART",17
2024,6,"SUBARU",10
2024,6,"HYUNDAI",10
2024,6,"NETA",9
2024,6,"MERCEDES_BENZ",9
2024,6,"HONDA",8
2024,6,"TOYOTA",7
2024,6,"PEUGEOT",6
2024,6,"DFSK",5
2024,6,"NISSAN",4
2024,6,"LEXUS",3
2024,6,"WULING",2
2024,6,"KIA",2
2024,6,"VOLKSWAGEN",1
2024,6,"PORSCHE",1
2024,6,"LOTUS",1
2024,6,"FIAT",1
2024,6,"AUDI",1
2024,7,"TESLA",642
2024,7,"BYD",373
2024,7,"B.M.W.",173
2024,7,"MAXUS",129
2024,7,"HYUNDAI",88
2024,7,"M.G.",61
2024,7,"SMART",36
2024,7,"GAC_AION",25
2024,7,"ORA",24
2024,7,"MERCEDES_BENZ",20
2024,7,"NISSAN",19
2024,7,"SUBARU",18
2024,7,"HONDA",15
2024,7,"MINI",14
2024,7,"NETA",13
2024,7,"TOYOTA",12
2024,7,"LEXUS",7
2024,7,"DFSK",7
2024,7,"PORSCHE",6
2024,7,"PEUGEOT",4
2024,7,"WULING",3
2024,7,"VOLKSWAGEN",2
2024,7,"FIAT",2
2024,7,"KIA",1
2024,7,"KG_MOBILITY",1
2024,8,"TESLA",914
2024,8,"BYD",379
2024,8,"MAXUS",210
2024,8,"B.M.W.",164
2024,8,"SMART",84
2024,8,"MINI",76
2024,8,"HYUNDAI",62
2024,8,"M.G.",60
2024,8,"GAC_AION",22
2024,8,"ORA",19
2024,8,"MERCEDES_BENZ",16
2024,8,"LEXUS",9
2024,8,"TOYOTA",8
2024,8,"SUBARU",8
2024,8,"WULING",7
2024,8,"NISSAN",6
2024,8,"HONDA",6
2024,8,"VOLKSWAGEN",3
2024,8,"NETA",3
2024,8,"KIA",3
2024,8,"KG_MOBILITY",3
2024,8,"PORSCHE",2
2024,8,"DFSK",2
2024,8,"AUDI",2
2024,8,"PEUGEOT",1
2024,9,"TESLA",687
2024,9,"BYD",304
2024,9,"MAXUS",183
2024,9,"SMART",151
2024,9,"B.M.W.",118
2024,9,"DENZA",73
2024,9,"MINI",62
2024,9,"HYUNDAI",35
2024,9,"M.G.",32
2024,9,"ORA",28
2024,9,"NETA",26
2024,9,"MERCEDES_BENZ",24
2024,9,"GAC_AION",21
2024,9,"TOYOTA",14
2024,9,"HONDA",12
2024,9,"SUBARU",10
2024,9,"LEXUS",8
2024,9,"DFSK",7
2024,9,"WULING",6
2024,9,"NISSAN",5
2024,9,"VOLKSWAGEN",2
2024,9,"KIA",2
2024,9,"KG_MOBILITY",2
2024,9,"DONGFENG",2
2024,9,"AUDI",2
2024,9,"PORSCHE",1
2024,9,"PEUGEOT",1
2024,10,"TESLA",875
2024,10,"BYD",290
2024,10,"XPENG",203
2024,10,"DENZA",181
2024,10,"ZEEKR",177
2024,10,"MAXUS",165
2024,10,"B.M.W.",111
2024,10,"MINI",103
2024,10,"SMART",94
2024,10,"M.G.",82
2024,10,"ORA",63
2024,10,"DONGFENG",46
2024,10,"TOYOTA",36
2024,10,"MERCEDES_BENZ",30
2024,10,"NETA",25
2024,10,"HYUNDAI",25
2024,10,"GAC_AION",24
2024,10,"SUBARU",22
2024,10,"HONDA",16
2024,10,"NISSAN",9
2024,10,"PORSCHE",8
2024,10,"LEXUS",7
2024,10,"WULING",6
2024,10,"DFSK",6
2024,10,"PEUGEOT",5
2024,10,"VOLKSWAGEN",2
2024,10,"POLESTAR",2
2024,10,"KIA",2
2024,10,"KG_MOBILITY",2
2024,10,"LOTUS",1
2024,11,"TESLA",645
2024,11,"BYD",317
2024,11,"ZEEKR",201
2024,11,"DENZA",187
2024,11,"B.M.W.",170
2024,11,"XPENG",158
2024,11,"MAXUS",129
2024,11,"SMART",121
2024,11,"M.G.",105
2024,11,"MINI",103
2024,11,"MERCEDES_BENZ",62
2024,11,"ORA",44
2024,11,"DONGFENG",38
2024,11,"NISSAN",37
2024,11,"NETA",30
2024,11,"GAC_AION",26
2024,11,"HONDA",23
2024,11,"TOYOTA",19
2024,11,"LEXUS",16
2024,11,"SUBARU",13
2024,11,"PORSCHE",10
2024,11,"WULING",6
2024,11,"HYUNDAI",6
2024,11,"KG_MOBILITY",4
2024,11,"DFSK",4
2024,11,"VOLKSWAGEN",1
2024,11,"POLESTAR",1
2024,11,"KIA",1
2024,11,"AUDI",1
2024,12,"TESLA",710
2024,12,"BYD",329
2024,12,"ZEEKR",319
2024,12,"MINI",158
2024,12,"DENZA",133
2024,12,"XPENG",127
2024,12,"SMART",104
2024,12,"MAXUS",96
2024,12,"B.M.W.",78
2024,12,"MERCEDES_BENZ",67
2024,12,"M.G.",60
2024,12,"PORSCHE",49
2024,12,"GAC_AION",43
2024,12,"DONGFENG",41
2024,12,"ORA",28
2024,12,"NISSAN",25
2024,12,"HONDA",16
2024,12,"NETA",14
2024,12,"LEXUS",11
2024,12,"WULING",10
2024,12,"VOLVO",9
2024,12,"TOYOTA",9
2024,12,"DFSK",9
2024,12,"KG_MOBILITY",6
2024,12,"POLESTAR",5
2024,12,"HYUNDAI",5
2024,12,"AUDI",4
2024,12,"KIA",3
2024,12,"VOLKSWAGEN",2
2024,12,"SUBARU",2
2024,12,"PEUGEOT",2
2024,12,"LOTUS",1
2024,12,"EVEASY",1
2025,1,"BYD",848
2025,1,"TESLA",202
2025,1,"ZEEKR",195
2025,1,"B.M.W.",144
2025,1,"M.G.",92
2025,1,"XPENG",57
2025,1,"MAXUS",55
2025,1,"DENZA",50
2025,1,"MINI",36
2025,1,"PORSCHE",35
2025,1,"DONGFENG",25
2025,1,"SMART",23
2025,1,"NISSAN",22
2025,1,"GAC_AION",21
2025,1,"ORA",14
2025,1,"MERCEDES_BENZ",14
2025,1,"NETA",11
2025,1,"WULING",10
2025,1,"TOYOTA",10
2025,1,"HONDA",9
2025,1,"LEXUS",8
2025,1,"VOLVO",7
2025,1,"DFSK",6
2025,1,"KG_MOBILITY",5
2025,1,"LOTUS",4
2025,1,"VOLKSWAGEN",3
2025,1,"AUDI",3
2025,1,"POLESTAR",2
2025,1,"PEUGEOT",2
2025,1,"SUBARU",1
2025,1,"KIA",1
2025,1,"JAGUAR",1
2025,1,"HYUNDAI",1
2025,1,"HENREY",1
2025,2,"BYD",821
2025,2,"TESLA",753
2025,2,"M.G.",123
2025,2,"ZEEKR",111
2025,2,"B.M.W.",111
2025,2,"XPENG",77
2025,2,"DENZA",68
2025,2,"SMART",47
2025,2,"MAXUS",36
2025,2,"VOLVO",31
2025,2,"NISSAN",31
2025,2,"MINI",30
2025,2,"ORA",28
2025,2,"MERCEDES_BENZ",24
2025,2,"GAC_AION",23
2025,2,"DONGFENG",17
2025,2,"VOLKSWAGEN",15
2025,2,"HYUNDAI",15
2025,2,"HONDA",10
2025,2,"WULING",9
2025,2,"PORSCHE",9
2025,2,"NETA",9
2025,2,"KIA",8
2025,2,"TOYOTA",7
2025,2,"LEXUS",7
2025,2,"DFSK",6
2025,2,"KG_MOBILITY",3
2025,2,"POLESTAR",2
2025,2,"PEUGEOT",2
2025,2,"KAIYI",1
2025,2,"JUNEYAO",1
