"year","month","region","country","registrations"
2023,5,"ROW","NEW_ZEALAND",173
2023,6,"ROW","NEW_ZEALAND",961
2023,7,"ROW","NEW_ZEALAND",202
2023,8,"ROW","NEW_ZEALAND",104
2023,9,"ROW","NEW_ZEALAND",759
2023,10,"ROW","NEW_ZEALAND",143
2023,11,"ROW","NEW_ZEALAND",566
2023,12,"ROW","NEW_ZEALAND",558
2024,1,"ROW","NEW_ZEALAND",27
2024,2,"ROW","NEW_ZEALAND",152
2024,3,"ROW","NEW_ZEALAND",199
2024,4,"ROW","NEW_ZEALAND",67
2024,5,"ROW","NEW_ZEALAND",76
2024,6,"ROW","NEW_ZEALAND",107
2024,7,"ROW","NEW_ZEALAND",98
2024,8,"ROW","NEW_ZEALAND",133
2024,9,"ROW","NEW_ZEALAND",100
2024,10,"ROW","NEW_ZEALAND",57
2024,11,"ROW","NEW_ZEALAND",21
2024,12,"ROW","NEW_ZEALAND",250
2025,1,"ROW","NEW_ZEALAND",34
2025,2,"ROW","NEW_ZEALAND",85
2025,3,"ROW","NEW_ZEALAND",145
2024,4,"ROW","CHILE",57
2024,5,"ROW","CHILE",91
2024,6,"ROW","CHILE",95
2024,7,"ROW","CHILE",40
2024,8,"ROW","CHILE",47
2024,9,"ROW","CHILE",158
2024,10,"ROW","CHILE",64
2023,1,"ROW","AUSTRALIA",3313
2023,2,"ROW","AUSTRALIA",3516
2023,3,"ROW","AUSTRALIA",3578
2023,4,"ROW","AUSTRALIA",3676
2023,5,"ROW","AUSTRALIA",4476
2023,6,"ROW","AUSTRALIA",7018
2023,7,"ROW","AUSTRALIA",3934
2023,8,"ROW","AUSTRALIA",3309
2023,9,"ROW","AUSTRALIA",5177
2023,10,"ROW","AUSTRALIA",1988
2023,11,"ROW","AUSTRALIA",3939
2023,12,"ROW","AUSTRALIA",2192
2024,1,"ROW","AUSTRALIA",1107
2024,2,"ROW","AUSTRALIA",5665
2024,3,"ROW","AUSTRALIA",6017
2024,4,"ROW","AUSTRALIA",2077
2024,5,"ROW","AUSTRALIA",3567
2024,6,"ROW","AUSTRALIA",4683
2024,7,"ROW","AUSTRALIA",2592
2024,8,"ROW","AUSTRALIA",2393
2024,9,"ROW","AUSTRALIA",2649
2024,10,"ROW","AUSTRALIA",1464
2024,11,"ROW","AUSTRALIA",2540
2023,1,"ROW","HONG_KONG",316
2023,2,"ROW","HONG_KONG",1421
2023,3,"ROW","HONG_KONG",1051
2023,4,"ROW","HONG_KONG",634
2023,5,"ROW","HONG_KONG",785
2023,6,"ROW","HONG_KONG",678
2023,7,"ROW","HONG_KONG",647
2023,8,"ROW","HONG_KONG",883
2023,9,"ROW","HONG_KONG",743
2023,10,"ROW","HONG_KONG",715
2023,11,"ROW","HONG_KONG",673
2023,12,"ROW","HONG_KONG",1093
2024,1,"ROW","HONG_KONG",953
2024,2,"ROW","HONG_KONG",1520
2024,3,"ROW","HONG_KONG",862
2024,4,"ROW","HONG_KONG",523
2024,5,"ROW","HONG_KONG",616
2024,6,"ROW","HONG_KONG",609
2024,7,"ROW","HONG_KONG",642
2024,8,"ROW","HONG_KONG",914
2024,9,"ROW","HONG_KONG",687
2024,10,"ROW","HONG_KONG",875
2024,11,"ROW","HONG_KONG",645
2024,12,"ROW","HONG_KONG",710
2025,1,"ROW","HONG_KONG",202
2025,2,"ROW","HONG_KONG",753
2023,6,"ROW","SOUTH_KOREA",1891
2023,7,"ROW","SOUTH_KOREA",118
2023,8,"ROW","SOUTH_KOREA",696
2023,9,"ROW","SOUTH_KOREA",4501
2023,10,"ROW","SOUTH_KOREA",2829
2023,11,"ROW","SOUTH_KOREA",3563
2024,1,"ROW","SOUTH_KOREA",1
2024,2,"ROW","SOUTH_KOREA",174
2024,3,"ROW","SOUTH_KOREA",6025
2024,4,"ROW","SOUTH_KOREA",1722
2024,5,"ROW","SOUTH_KOREA",4165
2024,6,"ROW","SOUTH_KOREA",5293
2024,7,"ROW","SOUTH_KOREA",2680
2024,8,"ROW","SOUTH_KOREA",2208
2024,9,"ROW","SOUTH_KOREA",1349
2024,10,"ROW","SOUTH_KOREA",1263
2024,11,"ROW","SOUTH_KOREA",3618
2024,12,"ROW","SOUTH_KOREA",1252
2025,1,"ROW","SOUTH_KOREA",5
2025,2,"ROW","SOUTH_KOREA",2222
2025,3,"ROW","SOUTH_KOREA",2591
2023,1,"ROW","THAILAND",32
2023,2,"ROW","THAILAND",709
2023,3,"ROW","THAILAND",1523
2023,4,"ROW","THAILAND",534
2023,5,"ROW","THAILAND",1072
2023,6,"ROW","THAILAND",1225
2023,7,"ROW","THAILAND",272
2023,8,"ROW","THAILAND",855
2023,9,"ROW","THAILAND",375
2023,10,"ROW","THAILAND",289
2023,11,"ROW","THAILAND",292
2023,12,"ROW","THAILAND",1028
2024,1,"ROW","THAILAND",52
2024,2,"ROW","THAILAND",670
2024,3,"ROW","THAILAND",566
2024,4,"ROW","THAILAND",224
2024,5,"ROW","THAILAND",385
2024,6,"ROW","THAILAND",555
2024,7,"ROW","THAILAND",86
2024,8,"ROW","THAILAND",451
2024,9,"ROW","THAILAND",426
2024,10,"ROW","THAILAND",109
2024,11,"ROW","THAILAND",250
2024,12,"ROW","THAILAND",347
2023,1,"ROW","SINGAPORE",30
2023,2,"ROW","SINGAPORE",63
2023,3,"ROW","SINGAPORE",72
2023,4,"ROW","SINGAPORE",28
2023,5,"ROW","SINGAPORE",90
2023,6,"ROW","SINGAPORE",117
2023,7,"ROW","SINGAPORE",51
2023,8,"ROW","SINGAPORE",134
2023,9,"ROW","SINGAPORE",54
2023,10,"ROW","SINGAPORE",58
2023,11,"ROW","SINGAPORE",28
2023,12,"ROW","SINGAPORE",216
2024,1,"ROW","SINGAPORE",104
2024,2,"ROW","SINGAPORE",33
2024,3,"ROW","SINGAPORE",211
2024,4,"ROW","SINGAPORE",105
2024,5,"ROW","SINGAPORE",208
2024,6,"ROW","SINGAPORE",308
2024,7,"ROW","SINGAPORE",174
2024,8,"ROW","SINGAPORE",308
2024,9,"ROW","SINGAPORE",354
2024,10,"ROW","SINGAPORE",61
2024,11,"ROW","SINGAPORE",224
2024,12,"ROW","SINGAPORE",294
2025,2,"ROW","SINGAPORE",262
2025,3,"ROW","SINGAPORE",151
2023,1,"ROW","MALAYSIA",35
2023,2,"ROW","MALAYSIA",15
2023,3,"ROW","MALAYSIA",33
2023,4,"ROW","MALAYSIA",23
2023,5,"ROW","MALAYSIA",35
2023,6,"ROW","MALAYSIA",33
2023,7,"ROW","MALAYSIA",41
2023,8,"ROW","MALAYSIA",78
2023,9,"ROW","MALAYSIA",36
2023,10,"ROW","MALAYSIA",20
2023,11,"ROW","MALAYSIA",212
2023,12,"ROW","MALAYSIA",1312
2024,1,"ROW","MALAYSIA",375
2024,2,"ROW","MALAYSIA",259
2024,3,"ROW","MALAYSIA",1009
2024,4,"ROW","MALAYSIA",363
2024,5,"ROW","MALAYSIA",636
2024,6,"ROW","MALAYSIA",437
2024,7,"ROW","MALAYSIA",320
2024,8,"ROW","MALAYSIA",438
2024,9,"ROW","MALAYSIA",450
2024,10,"ROW","MALAYSIA",265
2024,11,"ROW","MALAYSIA",273
2025,1,"ROW","MALAYSIA",13
2025,2,"ROW","MALAYSIA",443
2025,3,"ROW","MALAYSIA",171
